date,open,high,low,close,volume
1/2/2015,24.8046,24.8158,23.905,24.3459,212818504
1/5/2015,24.1143,24.1945,23.473,23.66,257141964
1/6/2015,23.7246,23.9228,23.2993,23.6623,263188464
1/7/2015,23.8716,24.0943,23.7591,23.9941,160423736
1/8/2015,24.3236,24.9739,24.2056,24.916,237458188
1/9/2015,25.0897,25.2188,24.5419,24.9427,213260396
1/12/2015,25.0741,25.0808,24.2279,24.3281,198603160
1/13/2015,24.8135,25.1186,24.2524,24.5441,268367712
1/14/2015,24.2813,24.6042,24.1611,24.4506,195826352
1/15/2015,24.4951,24.5085,23.7513,23.787,240055984
1/16/2015,23.8337,23.9562,23.4262,23.6022,314053380
1/20/2015,24.0141,24.265,23.7157,24.2101,199599628
1/21/2015,24.2613,24.7312,24.1099,24.3949,194303588
1/22/2015,24.553,25.0451,24.4328,25.0295,215185636
1/23/2015,25.0073,25.3302,24.8358,25.1587,185859312
1/26/2015,25.3279,25.4666,25.1186,25.1854,222459916
1/27/2015,25.034,25.0474,24.2791,24.3036,382274996
1/28/2015,26.1931,26.3033,25.6776,25.6776,585908252
1/29/2015,25.9025,26.5416,25.7332,26.477,337745728
1/30/2015,26.3656,26.7219,26.0205,26.0895,334981844
2/2/2015,26.2877,26.5371,25.849,26.4169,250956400
2/3/2015,26.3879,26.5193,26.1897,26.4213,207662996
2/4/2015,26.3879,26.8355,26.3454,26.624,280598972
2/5/2015,26.8311,26.8781,26.659,26.8132,168984980
2/6/2015,26.8311,26.8825,26.4801,26.5874,174826268
2/9/2015,26.5025,26.7909,26.4757,26.7641,155559188
2/10/2015,26.8647,27.3073,26.8624,27.2782,248034024
2/11/2015,27.4459,27.9265,27.3855,27.9176,294247188
2/12/2015,28.1814,28.4988,28.0719,28.2708,297897864
2/13/2015,28.4541,28.4541,28.0897,28.4094,217088876
2/17/2015,28.5011,28.8118,28.3737,28.5771,252609620
2/18/2015,28.5313,28.7895,28.4921,28.7749,179566948
2/19/2015,28.7224,28.8454,28.6889,28.7157,149449524
2/20/2015,28.7537,28.9504,28.6263,28.9493,195793676
2/23/2015,29.0667,29.7329,28.9862,29.7329,283896440
2/24/2015,29.7195,29.867,29.3238,29.5473,276912520
2/25/2015,29.411,29.4199,28.6486,28.7917,298846984
2/26/2015,28.7906,29.2567,28.3044,29.155,365150116
2/27/2015,29.0622,29.1896,28.6687,28.7179,248059388
3/2/2015,28.8945,29.1248,28.6822,28.8588,192386652
3/3/2015,28.8297,28.9549,28.6352,28.9191,151265132
3/4/2015,28.861,28.9638,28.6866,28.7358,126665360
3/5/2015,28.7448,28.7828,28.1143,28.2596,226068584
3/6/2015,28.7045,28.9214,28.2261,28.3021,291368240
3/9/2015,28.6062,28.9661,27.9578,28.4228,354113948
3/10/2015,28.2596,28.4407,27.6762,27.8349,275426328
3/11/2015,27.8885,27.893,27.2984,27.3274,275755896
3/12/2015,27.3431,27.9221,27.191,27.8215,193450876
3/13/2015,27.8103,28.0328,27.4034,27.6292,207309132
3/16/2015,27.694,27.9333,27.4683,27.9333,143497200
3/17/2015,28.1456,28.4631,28.0897,28.4005,204092416
3/18/2015,28.3915,28.8744,28.2507,28.7202,261083780
3/19/2015,28.7828,28.8934,28.481,28.5022,183237960
3/20/2015,28.671,28.7045,27.9802,28.1456,274780544
3/23/2015,28.4184,28.5816,28.2842,28.4385,150838696
3/24/2015,28.443,28.624,28.2932,28.3222,131369216
3/25/2015,28.2887,28.3513,27.5823,27.5823,206620708
3/26/2015,27.4437,27.9176,27.4079,27.7745,190291476
3/27/2015,27.8483,27.8774,27.4772,27.5532,158184604
3/30/2015,27.7321,28.2574,27.7209,28.2507,188398680
3/31/2015,28.1881,28.2775,27.8002,27.817,168362212
4/1/2015,27.9042,27.9713,27.5197,27.7768,162485748
